feature,importance,importance_pct
doy_cos,0.8955040544082346,16.861837961400923
is_month_end,0.699580167021852,13.172701295168801
days_since,0.5794207532801021,10.910167078738917
doy_sin,0.5669821818557352,10.675955770820737
year,0.547304321836776,10.305432728034422
dom,0.5207466262504037,9.805366248825074
month,0.3645937839841231,6.865096005999462
week,0.33799137842402804,6.364187663117403
doy,0.32411817174969515,6.10296297988332
dow_sin,0.19534441094592375,3.6782254505951135
is_weekend,0.14362425618634428,2.7043640095423362
dow,0.1338713476885695,2.5207222248599415
dow_cos,0.001751543685391576,0.03298058301355712
